id_laporan,teks_laporan,label_prioritas,sumber_data
ID-0001,"Min tolong dong diviralkan, tempat pengolahan sampah di Bantul baunya makin naudzubillah. Warga udah ga tahan pengen demo ke Ombudsman. Segera ditindaklanjuti lho ini.",Tinggi,berita
ID-0002,"Lapor DLHK, kondisi pengolahan sampah Piyungan makin kritis. Air lindinya udah ngalir kemana-mana sampai masuk pekarangan. Kalau sumur warga tercemar siapa yang mau tanggung jawab? Tolong segera diurus.",Tinggi,berita
ID-0003,"Tolong dong pemerintah, TPS3R yang di Bantul itu baunya nyengat banget parah. Kasihan bocah-bocah sekolah di sebelahnya tiap hari ngirup bau busuk, puskemas juga udah penuh aduan.",Tinggi,berita
ID-0004,"Ini gimana ceritanya lapangan Pemda Sleman malah berubah jadi TPS dadakan? Pemandangannya kotor banget, baunya juga mulai ga sedap. Tolong petugas kebersihan segera ngangkut sampahnya.",Sedang,berita
ID-0005,"Halo admin, warga Tamanan protes keras keberadaan TPS di dekat SLB N 2 Bantul. Anak-anak berkebutuhan khusus disitu belajarnya sangat terganggu bau nyengat. Tolong direlokasi secepatnya!",Tinggi,berita
ID-0006,"Min, itu tumpukan sampah yang kemarin rame di sosmed kok belum diberesin juga ya? Lalat ijonya udah pada masuk ke warung makan warga sekitar. Jijik banget tolong segera diangkut.",Sedang,berita
ID-0007,"Lapor min, TPS3R Tamanan ini udah masuk tahap membahayakan warga. Siswa sekolah deket situ banyak yang mulai batuk dan sesak napas. Jangan nunggu ada korban masuk IGD baru gerak dong.",Tinggi,berita
ID-0008,"Warga Tamanan udah fix mau ngadu ke Ombudsman kalau masalah TPS ini dibiarin terus. Bau busuknya udah over limit, tolong dinas terkait turun ke lapangan sekarang juga!",Tinggi,berita
ID-0009,"Saya perwakilan wali murid nuntut operasional TPS3R Bantul dievaluasi. Bau dan polusi udaranya udah ga wajar, kasihan paru-paru anak kami tiap hari harus nyium begituan.",Tinggi,berita
ID-0010,"Pak Bupati, warga Sokowaten udah nyerah sama bau busuk dari TPS3R. Tolong minimal ada penyemprotan cairan penghilang bau atau apa kek, lingkungan sini jadi kumuh banget rasanya.",Tinggi,berita
ID-0011,"Permisi admin, mau nanya jadwal pengangkutan buat Jalan Nuri RT 04 Jetis minggu ini hari apa aja ya masuknya? Biar plastiknya ga kelamaan ditaruh di depan rumah.",Rendah,manual
ID-0012,"Lapor gawat! Sampah di Pasar Giwangan udah sebulan ga ditarik, numpuk kayak gunung. Pedagang sama pembeli udah pada mual nyium baunya. Tolong kerahkan armada sekarang juga min.",Tinggi,berita
ID-0013,"Min, mau tanya sistem buang sampah di desa-desa Bantul sekarang gimana sih semenjak Piyungan ditutup? Sampah pada numpuk di pinggir jalan ga karuan, warga butuh solusi secepatnya.",Sedang,berita
ID-0014,"Sebagai guru di SLB N 2 Bantul, saya sangat mengeluhkan lokasi pembuangan sampah di sebelah sekolah. Aktivitas belajar terhenti karena bau busuknya masuk ke kelas. Tolong segera ditindak.",Tinggi,berita
ID-0015,"Min tolong viralkan, ada oknum buka tempat pengolahan sampah ilegal di Sedayu. Baunya luar biasa busuk, warga udah emosi mau gerebek. Tolong satpol pp sama DLH segera nutup tempat itu.",Tinggi,berita
ID-0016,"Tolong petugas kebersihan kerjanya agak dicepetin dong. Masa tumpukan sampah yang viral di Jogja dibiarin gitu aja, malu diliat wisatawan luar daerah. Baunya juga kemana-mana.",Sedang,berita
ID-0017,"Halo min, mau ngasih tau tadi pagi petugas pengangkut sepertinya kelewatan ngambil satu plastik hitam ukuran kecil di depan Jalan Mangkubumi Gang Srikandi No. 5. Tolong besok sekalian diangkut ya.",Rendah,manual
ID-0018,"Lapor pak, ada warga Mantrijeron yang ngeyel bakar sampah plastik di permukiman padat. Asap pekatnya masuk ke rumah-rumah bikin sesak napas. Tolong kasih sanksi tegas, polsek udah dihubungi tapi belum ada efek.",Tinggi,berita
ID-0019,"Kondisi Depo Argolubang udah kritis min, sampahnya luber sampai nutupin aspal jalan. Baunya nauzubillah, lalatnya juga banyak banget. Besok pagi tolong langsung dikosongin ya, ga tahan liatnya.",Tinggi,berita
ID-0020,Masalah sampah di Sleman kok makin amburadul ya. Banyak warga yang seenaknya buang bungkusan plastik di fasilitas umum. Tolong pengawasannya diperketat dan dipasang cctv kalau perlu.,Sedang,berita
ID-0021,"Min, tumpukan sampah liar di sepanjang Ring Road Selatan udah makan lajur lambat. Bahaya banget buat motor yang lewat malam-malam bisa nabrak. Tolong segera diangkut dan tangkap pelakunya.",Tinggi,berita
ID-0022,"Halo mas admin, cuma mau tanya jadwal mas gerobak roda tiga di Jalan Kenanga Umbulharjo itu biasanya lewat jam berapa ya patokannya? Biar ga kelewatan lagi naruh plastiknya.",Rendah,manual
ID-0023,"Warga sekitar TPST Donokerto mau protes keras. Katanya ada penataan tapi bau busuknya malah makin parah nyengat ke rumah-rumah. Tolong dievaluasi lagi cara kelolanya, warga yang jadi korban.",Tinggi,berita
ID-0024,"Info min, pengelolaan limbah di Bangunjiwo itu asal-asalan banget. Bhabinkamtibmas udah ngecek kemarin, tolong pihak dinas kebersihan juga turun tangan buat nertibin sebelum tambah parah.",Sedang,berita
ID-0025,"Halo min, mau komplain. Di pertigaan masuk kos-kosan daerah Pogung Lor ada gunungan sampah liar yang ga pernah diangkut. Tiap buka pintu kamar langsung kecium bau busuk, tolong segera dibersihkan.",Sedang,berita
ID-0026,"Tolong petugas terkait, trotoar di Jalan Kaliurang KM 5 dipenuhi kantong sampah liar. Pejalan kaki sampai harus turun ke jalan raya buat lewat. Sangat mengganggu dan membahayakan.",Sedang,berita
ID-0027,"Darurat min, tolong tegur warga yang bakar sampah sembarangan di deket area kampus UGM. Asapnya tebal dan beracun, mahasiswa di kosan pada batuk-batuk sesak napas. Harus ada denda tegas nih.",Tinggi,berita
ID-0028,"Lapor, tumpukan sampah di deket Warmindo Klebengan udah membusuk dan ngeluarin belatung. Baunya nyengat banget bikin orang ga nafsu makan. Tolong banget besok pagi diangkut sebelum jadi sumber penyakit.",Tinggi,berita
ID-0029,"Tumpukan plastik sampah di perempatan Godean hancur diacak-acak anjing dan kucing liar semalaman. Sekarang berhamburan sampai ke tengah jalan, kotor banget. Mohon petugas segera datang nyapu sekalian.",Sedang,berita
ID-0030,"Min, kepastian jadwal angkut sampah di kampung Barepan gimana sih? Udah seminggu lebih truk ga datang, warga nahan bau busuk di rumah masing-masing. Tolong segera ada kejelasan operasionalnya.",Sedang,berita
ID-0031,"Lapor admin, sampah di Alun-Alun Selatan habis acara weekend kemarin dibiarin numpuk gitu aja. Pagi ini yang mau jogging pada mual nyium baunya. Tolong dikerahkan petugas kebersihan sekarang.",Sedang,berita
ID-0032,"Min tolong viralkan, sampah di gang kosan daerah Palagan udah dua minggu dibiarin membusuk sampai lalat sama belatungnya invasi ke kamar. Ini udah masuk ranah bahaya kesehatan, tolong diangkut segera!",Tinggi,berita
ID-0033,"Lapor DLHK, kebiasaan buruk warga buang sampah di pinggir Jalan Kaliurang pas malam hari makin gila. Subuh tadi ada motor nabrak karung sampah itu, bahaya banget rawan laka. Tolong satpol pp patroli disana.",Tinggi,berita
ID-0034,"Min tolong bantuannya, lahan kosong sebelah Masjid Pogung Raya sering banget dipakai buang sampah sembarangan sama oknum luar kampung. Warga udah pada geram, tolong dibantu pasang peringatan atau spanduk larangan.",Sedang,berita
ID-0035,"Gawat min, depo pembuangan utama di Sleman udah jebol. Sampahnya tumpah nutupin setengah lajur jalan raya, bikin macet panjang gara-gara kendaraan harus gantian lewat. Harus ada penanganan darurat hari ini.",Tinggi,berita
ID-0036,"Lapor pak, ada oknum yang terekam kamera buang berkarung-karung sampah langsung ke aliran Selokan Mataram. Bikin mampet parah, bentar lagi hujan deres pasti daerah sini kebanjiran. Tolong lacak pelakunya!",Tinggi,berita
ID-0037,"Tolong dong kesadarannya, ada oknum bakar sampah persis di belakang RS Sardjito malam ini. Asap tebalnya masuk lewat jendela bangsal pasien, bikin sesak napas. Tolong polisi atau keamanan RS segera tindak!",Tinggi,berita
ID-0038,"Min, tumpukan sampah liar di bawah jembatan layang itu makin parah baunya. Air sisa hujan kemaren bikin limbah cairnya ngalir ke jalanan, baunya nempel di ban motor. Tolong segera ditertibkan.",Sedang,berita
ID-0039,"Halo min, Depo Ambarketawang kan statusnya ditutup sementara, tapi warga tetap nekat ngelempar plastiknya ke depan pagar sampai numpuk tinggi. Tolong ditempatkan petugas jaga buat ngelarang warga buang disitu.",Sedang,berita
ID-0040,"Permisi dinas pariwisata dan kebersihan, kondisi trotoar di pusat kota Jogja lagi memprihatinkan. Tempat sampah umum pada penuh tumpah ruah belum dikosongin petugas. Malu lho dilihatin tamu dari luar daerah.",Sedang,berita
ID-0041,Lapor gawat! Sampah di pertigaan Ringroad Timur udah tumpah ruah nutupin separuh jalan aspal. Bikin macet panjang dan sangat membahayakan pengendara yang lewat. Tolong armada pengangkut segera dikirim.,Tinggi,llm_generated
ID-0042,"Min, tolong warga Demangan udah stres nyium bau bangkai dari depo yang meluber. Belatungnya merayap sampai ke teras rumah warga. Ini darurat kebersihan, tolong besok pagi langsung dibersihkan total.",Tinggi,llm_generated
ID-0043,Tolong segera dikirim petugas! Ada yang sengaja bakar sampah ban bekas di lahan kosong sebelah pom bensin Lempuyangan. Asap hitamnya tebal banget dan sangat rawan merembet bikin kebakaran besar.,Tinggi,llm_generated
ID-0044,"Lapor dinas kesehatan, air lindi berbau busuk dari tumpukan sampah Pasar Ngasem ngalir deras masuk ke saluran drainase warga. Sumur resapan di sekitarnya terancam tercemar limbah beracun. Mohon segera dievakuasi.",Tinggi,llm_generated
ID-0045,Urgent min! Bau TPS liar di dekat SD Muhammadiyah Sukonandi udah ngga bisa ditolerir. Siswa dan guru pada mual pusing saat KBM berlangsung. Kami mohon tempat tersebut ditutup permanen hari ini juga.,Tinggi,llm_generated
ID-0046,"Halo admin, tumpukan sampah liar di depan deretan ruko Jalan Kaliurang ini udah menjulang setinggi tembok. Lalat hijaunya berkerumun masuk ke warung makan, sangat merugikan pedagang. Tolong diangkut segera.",Tinggi,llm_generated
ID-0047,"Min, semalam ada indikasi pembuangan limbah berkarung-karung secara diam-diam di bawah jembatan Teknik UGM oleh truk tak dikenal. Bau busuknya menyengat sampai ke kampung sekitar. Tolong diselidiki.",Tinggi,llm_generated
ID-0048,"Lapor Pak, sampah buangan warga di Selokan Mataram udah nyumbat aliran air sepenuhnya. Tolong dikerahkan petugas untuk mengeruk, ini bahaya banget bisa memicu banjir bandang ke perumahan kalau hujan turun.",Tinggi,llm_generated
ID-0049,"Min, mohon segera ditarik tumpukan sampah sisa event di Alun-Alun Kidul. Sampahnya udah bercampur air hujan dan mulai membusuk di tengah jalan, bikin kawasan wisata jadi kumuh dan bau tidak sedap.",Tinggi,llm_generated
ID-0050,Tolong dinas lingkungan hidup segera bertindak! TPS ilegal di Desa Hargobinangun terus beroperasi dan membakar sampah tiap hari. Asap pekatnya bikin banyak anak kecil di desa kena ISPA. Warga udah mau demo!,Tinggi,llm_generated
ID-0051,"Min, tolong banget ini ditindaklanjuti. Bawah flyover Janti sekarang wujudnya udah kayak lautan sampah liar. Baunya busuk banget sampai nusuk ke hidung pas kita lewat di atas jembatan. Kalau dibiarin terus bisa jadi sarang penyakit ini.",Tinggi,llm_generated
ID-0052,"Lapor DLHK dan Dinkes! Ini gawat banget, ada oknum buang limbah medis bekas suntikan campur sampah rumah tangga di kebon kosong area Wirobrajan. Bahaya banget astaga, apalagi sore sering banyak bocil main layangan di situ.",Tinggi,llm_generated
ID-0053,"Halo admin, tolong sampaikan ke petugas kebersihan. Depo Timoho kondisinya udah parah parah banget, sampahnya tumpah ruah nutupin aspal jalan raya. Kemarin sore malah ada ibu-ibu numpak beat kepeleset plastik sampah sampai njungkel luka-luka.",Tinggi,llm_generated
ID-0054,"Pak Bupati, warga sini beneran udah nyerah sama polusi bau dari TPST Tamanmartani. Udah hampir sebulan penuh tumpukannya ga diangkut sama sekali. Warga banyak yang mulai mual, pusing, sampai diare. Besok harus ada armada yang turun!",Tinggi,llm_generated
ID-0055,Tolong petugas kebersihan Pasar Beringharjo kerjanya dievaluasi. Tumpukan sampah di belakang pasar dibiarin membusuk berhari-hari sampai lalat ijo segede gaban invasi ke pemukiman warga sekitar. Jijik banget masa tiap makan selalu ditemploki lalat.,Tinggi,llm_generated
ID-0056,"Lapor min, saluran air drainase persis di depan RS Bethesda mampet total gara-gara ketutup gunungan sampah plastik. Air gotnya yang item dan bau busuk jadi nggenang meluber ke aspal. Tolong segera dikeruk sebelum jadi sarang nyamuk demam berdarah.",Tinggi,llm_generated
ID-0057,"Min tolong viralkan, kelakuan warga buang sampah liar di pinggir rel kereta area Rewulu udah kelewatan. Kemarin malah ada yang buang bangkai anjing dicampur ke tumpukan situ. Baunya nyengat naudzubillah bikin warga kampung ga bisa tidur nyenyak.",Tinggi,llm_generated
ID-0058,"Darurat min! Minta tolong segera hubungi damkar. Ini TPS liar di sebelah perumahan Wisma Asri dibakar sama orang ga bertanggung jawab. Apinya gede banget merembet ke tumpukan plastik, warga panik takut apinya nyamber ke tembok rumah sebelahnya.",Tinggi,llm_generated
ID-0059,"Permisi dinas pariwisata, ini trotoar di sepanjang jalan Sudirman kok beralih fungsi jadi tempat pembuangan sampah liar ya? Nutupin akses pejalan kaki total, baunya juga pesing banget. Malu-maluin Jogja aja dilihatin sama turis yang lagi jalan-jalan.",Tinggi,llm_generated
ID-0060,"Lapor pak, ada oknum pengusaha nakal yang sengaja buang sampah industri di lahan miring pinggiran Kali Opak. Ini bahaya banget, kalau pas hujan deras terus longsor, sampahnya bakal masuk nyemari sungai semua. Tolong diinvestigasi pelakunya.",Tinggi,llm_generated
ID-0061,"Halo admin kelurahan, ini jadwal truk pengangkut yang biasa masuk ke area Kampung Mejing kok udah telat dua hari berturut-turut ya? Sampah plastik warga udah mulai numpuk banyak di depan pagar nih, takutnya diacak-acak anjing liar kalau kelamaan.",Sedang,llm_generated
ID-0062,"Min, minta tolong sampaikan ke petugas kebersihan buat ngosongin bak penampungan di depan Kelurahan Sidokarto besok pagi. Itu kapasitasnya udah overload banget sampai warga terpaksa naruh kresek sampahnya ngegeletak di bawah tanah.",Sedang,llm_generated
ID-0063,"Permisi pak, ini bungkusan sampah milik warga di sepanjang Gang Mawar kayanya semalaman habis diacak-acak kawanan kucing liar. Plastiknya pada robek berantakan dan sisa makanannya berceceran di jalan paving. Mulai kecium bau ga sedap nih.",Sedang,llm_generated
ID-0064,"Tolong sampaikan ke kru pengangkut sampah lingkungan ya min, besok kalau keliling tolong agak masuk ke area Blok C bagian dalam. Tadi pagi jatah sampah rumah saya kelewatan ga keambil, padahal udah saya pisahin rapi di depan rumah.",Sedang,llm_generated
ID-0065,"Lapor dinas pertamanan, itu tumpukan sampah daun kering sama ranting pohon di pojokan taman kota udah numpuk berbulan-bulan ga dibersihin. Ngerusak pemandangan banget, apalagi sekarang pas musim hujan malah jadi sarang nyamuk kebun.",Sedang,llm_generated
ID-0066,"Halo pak, tolong kasih arahan ke petugas yang narik gerobak sampah di kampung kami dong. Tiap mindahin sampah ke gerobak sering banget airnya netes atau plastiknya sobek jatuh ke jalanan gang, kan jadi kelihatan kotor dan lengket jalannya.",Sedang,llm_generated
ID-0067,"Min, sekadar ngingetin nih, kondisi TPS sementara di area kampung selatan udah hampir menyentuh batas kapasitas maksimalnya lho. Daripada nunggu sampai benar-benar luber ke jalanan, mending besok pagi langsung dijadwalkan buat diangkut armadanya.",Sedang,llm_generated
ID-0068,"Mau tanya soal kebijakan pengangkutan sampah yang baru nih min. Kok akhir-akhir ini ritme pengambilannya berkurang ya, dari yang biasanya seminggu dua kali sekarang malah cuma sekali. Sampah organik dapur jadi kelamaan numpuk dan mulai bau asem nih.",Sedang,llm_generated
ID-0069,"Lapor min, tolong besok petugas kebersihan sekalian angkutin tiga karung sampah liar di pojok perempatan lampu merah. Sepertinya itu sengaja ditinggal gitu aja sama oknum pedagang kaki lima tadi malam setelah selesai jualan.",Sedang,llm_generated
