id_laporan,teks_laporan,label_prioritas,sumber_data,teks_bersih,label
ID-0796,Lapor darurat BPBD sm Damkar! Gunungan limbah organik neng Gang Srikandi 5 Jetis Yogyakarta udh ngeluarin asep putih sm gas metana ngeri bgt kyk mau njeblug kebakar sendiri kepanasan! Warga sekitar udh panik histeris kabeh wedi merembet neng omah. Tolong kirim unit damkar skrg sblm kedaden kebakaran gedhe!,Tinggi,llm_generated,lapor darurat bpbd sm damkar! gunungan limbah organik neng gang srikandi 5 jetis yogyakarta udh ngeluarin asep putih sm gas metana ngeri bgt kyk mau njeblug kebakar sendiri kepanasan! warga sekitar udh panik histeris kabeh wedi merembet neng omah. tolong kirim unit damkar skrg sblm kedaden kebakaran gedhe!,2
ID-0876,"Halo min, gue warga area perempatan Jalan Jlagran Tegalrejo. Mau konsul bentar tentang limbah pekarangan. Kalau misal habis menyapuin daun kering seember kecil dari kebun rumah, itu bakal otomatis diangkut sama mas gerobak rutin keliling, atau harus pesan layanan pickup khusus dari dinas?",Rendah,llm_generated,"halo min, gue warga area perempatan jalan jlagran tegalrejo. mau konsul bentar tentang limbah pekarangan. kalau misal habis menyapuin daun kering seember kecil dari kebun rumah, itu bakal otomatis diangkut sama mas gerobak rutin keliling, atau harus pesan layanan pickup khusus dari dinas?",0
ID-1173,"Permisi min mau curhat soal kejadian di spbu jalan solo pagi ini. Saya udah antri panjang banget buat ngisi pertalite, tiba tiba ada mobil suv mewah warna hitam langsung nyerobot antrean dari samping dan maksa masuk depan mobil saya. Pas saya klakson supirnya malah buka kaca dan ngeluarin kata kata kasar. Petugas spbunya juga diam aja ga berani negur. Tolong budayakan antri yang bener ngga usah egois.",Unknown,berita,"permisi min mau curhat soal kejadian di spbu jalan solo pagi ini. saya udah antri panjang banget buat ngisi pertalite, tiba tiba ada mobil suv mewah warna hitam langsung nyerobot antrean dari samping dan maksa masuk depan mobil saya. pas saya klakson supirnya malah buka kaca dan ngeluarin kata kata kasar. petugas spbunya juga diam aja ga berani negur. tolong budayakan antri yang bener ngga usah egois.",3
ID-1344,"Waspada lur, mangsa panen ngene malah akeh maling gabah neng area persawahan seyegan sleman. Beras e simbahku sing lagi dipe neng plataran ilang rong karung gedi pas ditinggal sedela mlebu omah. Malinge nggowo pick up ireng, wes terekam cctv kelurahan. Tlg warga tani luwih waspada nek njemur pari.",Unknown,merapi_uncover,"waspada lur, mangsa panen ngene malah akeh maling gabah neng area persawahan seyegan sleman. beras e simbahku sing lagi dipe neng plataran ilang rong karung gedi pas ditinggal sedela mlebu omah. malinge nggowo pick up ireng, wes terekam cctv kelurahan. tlg warga tani luwih waspada nek njemur pari.",3
ID-0936,"Nyuwun sewu pak admin, nderek tanglet info prosedur layanan nggih. Yen neng area Jalan RE Martadinata Danurejan niki wargane pengen buang barang bekas gedhe kados lemari kayu patah niku prosedure pripun nggih? Nopo saged dititipke truk pas jadwal lewat nopo kedah pesen pickup dinas?",Rendah,llm_generated,"nyuwun sewu pak admin, nderek tanglet info prosedur layanan nggih. yen neng area jalan re martadinata danurejan niki wargane pengen buang barang bekas gedhe kados lemari kayu patah niku prosedure pripun nggih? nopo saged dititipke truk pas jadwal lewat nopo kedah pesen pickup dinas?",0
ID-0713,"Woi dinas kesehatan sm pasar tlg gerak cepet! Warga seputaran dpn Ps Rejodani Ngaglik udh jerit-jerit minta tolong nih. 3 minggu full sisa sayur sm jeroan ga ditarik smp gunungannya ngungkuli tembok. Laler ijo e nyerang pemukiman, puluhan cah cilik kene wis dilarikan ke puskesmas gara2 muntaber. Darurat KLB anjir, angkut skrg!",Tinggi,llm_generated,"woi dinas kesehatan sm pasar tlg gerak cepet! warga seputaran dpn ps rejodani ngaglik udh jerit-jerit minta tolong nih. 3 minggu full sisa sayur sm jeroan ga ditarik smp gunungannya ngungkuli tembok. laler ijo e nyerang pemukiman, puluhan cah cilik kene wis dilarikan ke puskesmas gara2 muntaber. darurat klb anjir, angkut skrg!",2
ID-1040,"Min, minta tolong koordinasiin pengangkutan sampah di Jalan Gedong Kuning Umbulharjo dong. Tong-tong di sana udah full sejak kemarin dan belum ada yang ngambil. Mulai ada bau tapi masih bisa ditolerir. Mohon segera dijadwal.",Sedang,llm_generated,"min, minta tolong koordinasiin pengangkutan sampah di jalan gedong kuning umbulharjo dong. tong-tong di sana udah full sejak kemarin dan belum ada yang ngambil. mulai ada bau tapi masih bisa ditolerir. mohon segera dijadwal.",1
ID-1254,"Lapor min, ada kecelakaan beruntun di underpass jombor melibatkan dua mobil avanza sama pick up sayur. Ngga ada korban jiwa tapi mobilnya ringsek nutupin separuh jalan. Arus lalu lintas dialihkan ke jalur atas semua jadi macet panjang.",Unknown,manual_curation,"lapor min, ada kecelakaan beruntun di underpass jombor melibatkan dua mobil avanza sama pick up sayur. ngga ada korban jiwa tapi mobilnya ringsek nutupin separuh jalan. arus lalu lintas dialihkan ke jalur atas semua jadi macet panjang.",3
ID-1384,Keren banget trotoar di sepanjang Malioboro sekarang makin bersih dan tong sampahnya selalu dikosongin sebelum luber. Makasih buat semua petugas yang bertugas.,Unknown,llm_generated,keren banget trotoar di sepanjang malioboro sekarang makin bersih dan tong sampahnya selalu dikosongin sebelum luber. makasih buat semua petugas yang bertugas.,3
ID-1186,"Tolong pihak keamanan segera ke jalan mataram deket mi gacoan, ini ada dua kelompok tukang parkir lagi ribut adu mulut kayanya rebutan lahan parkir motor. Udah saling dorong dan nyaris baku hantam di pinggir jalan bikin pembeli yang lagi makan pada panik ketakutan. Takutnya merembet panjang bawa bawa senjata tajam, tolong polisi segera melerai sebelum kejadian yang ngga diinginkan.",Unknown,berita,"tolong pihak keamanan segera ke jalan mataram deket mi gacoan, ini ada dua kelompok tukang parkir lagi ribut adu mulut kayanya rebutan lahan parkir motor. udah saling dorong dan nyaris baku hantam di pinggir jalan bikin pembeli yang lagi makan pada panik ketakutan. takutnya merembet panjang bawa bawa senjata tajam, tolong polisi segera melerai sebelum kejadian yang ngga diinginkan.",3
